Ingredients,nutrition_api_id,alliumfree,almondfree,anticandida,autoimmune,beanfree,beeffree,chickenfree,citrusfree,coconutfree,cornfree,dairyfree,eggfree,elimination,fruitfree,glutenfree,grainfree,ketogenic,kosher,legumefree,lentilfree,lowfodmap,lowglycemic,lowhistamine,lowlectin,lowoxalate,lowsalicylate,lowsulfur,mediterranean,mushroomfree,nightshadefree,nutfree,oatfree,oilfree,onionfree,paleo,pescatarian,porkfree,ricefree,seafoodfree,soyfree,specificcarbohydrate,spicyfree,sugarfree,tomatofree,turkeyfree,unprocessed,vegan,vegetarian,wheatfree
Biryani Masala,174782,,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,,,,,,,,n,n,,,,,,,
Jerk Marinade,164326,n,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,n,,n,,,n,n,,,,,,,n,n,,n,,,,,
Dry Black Eyed Peas,6247,,,,n,n,,,,,,,,,,,,n,,n,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Creole Seasoning,246199,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Canned Mackerel,24725,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Whole Wheat Linguine,238888,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
White Cooking Wine,324110,,,n,n,,,,,,,,,,,,,,n,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,n,,,
Celery Seed,3409,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
White Glutinous Rice,1372,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,,,,,,,,,n,,,n,,,n,,,,,n,,,
"Pork Shoulder, Boneless",1676,,,n,,,,,,,,,,,,,,,n,,,,,,,,,n,n,,,,,,,,n,n,,,,,,,,,,n,n,
White Wine Vinegar,168752,,,n,,,,,,,,,,,,,,,n,,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,
"Cream Cheese, Regular",23818,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Green Curry Paste,69494,n,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Taco Seasoning,247045,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Madras Curry Powder,65958,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,n,n,,,,,,,
Calamari,6712,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Gluten-Free Bagel,117685,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Sliced Ham,581,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,n,,,,,n,n,n,
Bison Steak,6912,,,n,,,,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Gluten-Free Waffle,6594,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,n,,,,,,,n,,,n,,,n,,,,,n,,,
Pretzels,44,,,n,n,,,,,,,,,n,,n,n,n,,,,,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Tikka Masala Paste,287650,n,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,n,,,,,
Chamomile Tea,6645,,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Freeze Dried Strawberries,182794,,,n,,,,,,,,,,,n,,,,,,,,,n,,,n,,,,,,,,,,,,,,,n,,,,,,,,
Fig Jam,123204,,,,,,,,,,,,,,n,,,n,,,,n,n,,,,n,,,,,,,,,,,,,,,n,,,,,,,,
Pitted Prunes,651,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Edamame Pods,899,,,,n,n,,,,,,,,n,,,,,,n,,,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,,,,
Lima Beans,6743,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Whole Wheat Bun,160868,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Dried Dill,3811,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Unbleached All Purpose Flour,1425,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,,,n
Turkey Bacon,7081,,,n,,,,,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,,,n,,,,,,,,,n,n,n,n,
Blue Cheese,4664,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,,
Rice Vermicelli Noodles,46545,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Coconut Water,7320,,,,,,,,,n,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Provolone Cheese,3339,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Frozen Peaches,2417,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Honeydew Melon,2400,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,,,
"Ribeye Steak, Bone-in",5546,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Dried Fig,7154,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Oat Bran,1361,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,,,,
Cassava Flour,245521,,,n,,,,,,,,,,,,,,n,,,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Hoisin Sauce,5375,n,,n,n,n,,,,,n,,,n,,n,n,n,,n,,n,n,n,n,n,n,n,n,,n,,,n,n,n,,,,,n,n,n,n,,,n,,,n
Unsweetened Banana Chips,1338,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
Chow Mein Noodles,1394,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Skirt Steak,4648,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Beef Bones,,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Savoy Cabbage,2877,,,,,,,,,,,,,,,,,,,,,n,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Pickled Banana Peppers,131052,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,,n,,,,n,,,
Paneer Cheese,242790,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Earl Grey Tea,5716,,,n,,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,,,,,,,,,,,,,,n,,,
Muesli,1564,,n,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,n,n,,,,n,n,,,n,,,,,,n,,n,,,,,,
Old Bay Seasoning,81147,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,n,n,,,,,,,
"Fresh Lump Crab Meat, Cooked",46966,,,,,,,,,,,,,,,,,,n,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Strawberry Jam,123273,,,n,n,,,,,,,,,n,n,,,n,,,,,n,n,n,,n,,,,,,,,,n,,,,,,n,,n,,,,,,
Paneer Masala,243424,n,,n,n,,,,,,n,n,,n,,,,,n,,,n,,n,n,n,n,n,,,n,n,,n,n,n,,,,,,n,n,,,,,n,,
Lean Ground Beef,6525,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Hot Banana Pepper,29674,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,n,,,
"Cow's Milk, Reduced Fat",23115,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Ground Fenugreek,3813,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Berbere Spice,270431,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,,n,,,,,,,
Strip Loin Roast,1208,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Enchilada Sauce,6563,n,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,n,,n,,,,n,,,,,,,n,n,,n,,n,,,
Lasagna Sheets,189159,,,n,n,,,,,,,,n,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,n,,n
Beef Shanks,1930,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Teff Flour,319245,,,,n,,,,,,,,,,,,n,n,,,,,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Club Soda,241004,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Frozen Vegetable Mix,2961,,,n,n,,,,,,n,,,n,,,n,n,,,,n,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Seitan,68258,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Dried Marjoram,3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gochujang,199773,,,n,n,,,,,,,,,n,,n,n,n,,n,,n,n,n,n,n,n,n,,,n,,,n,,n,,,,,n,n,n,n,,,n,,,
"Vegetable Broth, Low Sodium",165704,n,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,n,,,,,,,,,,n,,,,,
White Hamburger Slider Buns,185376,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,,,n
Egg Noodles,2220,,,n,n,,,,,,,n,n,n,,n,n,n,n,,,n,n,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,n,,n
Tamarind Paste,72909,,,n,n,,,,,,,,,n,n,,,n,,,,,n,n,n,n,,n,,,n,,,,,n,,,,,,n,,,,,,,,
Moroccan Spice Blend,71931,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,,n,,,,,,,
Vegan Cream Cheese,293588,,,n,n,,,,,,,,,,,,,,,,,n,,n,n,n,,n,,,,n,,n,,n,,,,,,n,,,,,n,,,
Gruyere Cheese,23760,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
"Ham, Bone-in",260241,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,n,,,,,n,n,n,
Tamarind Flesh,252,,,n,n,,,,,,,,,n,n,,,n,,,,,n,n,n,n,,n,,,n,,,,,n,,,,,,n,,,,,,,,
Quinoa Flakes,45871,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,
Chana Masala Spice Blend,174786,n,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Snow Pea Shoots,172381,,,,n,,n,,,,,,,,,,,n,,,,n,,,n,,,n,,,,,,,,,,,,n,,,,,,,,,,
Beef Tortellini,183726,,,n,n,,n,,,,,n,n,n,,n,n,n,n,,,n,n,,n,n,,n,n,,,,,,,n,n,,,,,n,,,,,n,n,n,
Saffron,3423,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,
Peri Peri Spice,302065,n,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,n,,n,,,,n,,,,,,,n,n,,,,,,,
Sorghum Flour,203905,,,,n,,,,,,,,,,,,n,n,,,,,,,,n,,n,,,,,,,,n,n,,,,,n,,n,,,,,,
Pomelo,243,,,n,,,,,n,,,,,,n,,,n,,,,n,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Yuca,158319,,,n,,,,,,,,,,,,,,n,,,,,n,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Pickled Beets,30686,,,n,,,,,,,,,,,,,,n,,,,n,,n,n,n,n,n,,,,,,,,,,,,,,n,,n,,,n,,,
Pickled Red Onions,152449,n,,n,,,,,,,,,,,,,,,,,,n,,n,n,n,n,n,,,,,,,n,,,,,,,,,n,,,n,,,
Hashbrowns,162027,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,n,,n,,,n,,n,,,,,,n,,,,,n,,,
Soy Sauce,26401,,,n,n,n,,,,,,,,n,,n,,,,n,,,,n,n,n,,n,n,,,,,,,n,,,,,n,n,,,,,n,,,n
Whole Wheat Flour,71980,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Ackee,135484,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Textured Vegetable Protein,26411,,,n,n,n,,,,,,,,n,,n,n,n,,n,,n,n,n,n,n,,n,n,,,,,,,n,,,,,n,n,,,,,n,,,n
Marinara Sauce,243550,n,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,n,,n,,,n,n,,,,,,,n,,,n,,,,,
"Pumpkin Seeds, In Shell",2677,,,,n,,,,,,,,,,,,,,,,,,,n,n,n,n,,,,,,,,,,,,,,,n,,,,,,,,
"Plain Cow's Yogurt, Whole Milk",23154,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Tomato Purée,2949,,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,,,,
Frozen Blackberries,28678,,,n,,,,n,,,,,,,n,,,n,,,,n,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Plantain Chips,29047,,,n,,,,,,,,,,,n,,,n,,,,,n,,n,n,,n,,,,,,n,,,,,,,,n,,,,,,,,
Avocado Oil Spray,311437,,,,,,,,,,,,,,,,,,,,,,,n,,,n,,n,,,,,n,,,,,,,,,,,,,,,,
Pomegranate Juice,276,,,n,,,,,,,,,,n,n,,,n,,,,n,n,,n,n,n,,n,,,,,,,n,,,,,,n,,,,,n,,,
Lean Beef Patty,297044,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Cornish Hen,3996,,,,,,,n,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,
"Sweetened Condensed Milk, Low Fat",83460,,,n,n,,,,,,,n,,n,,,,n,n,,,n,n,n,n,,,n,n,,,,,,,n,,,,,,n,,n,,,n,n,,
Phyllo Dough,5280,,,n,n,,,,,,,n,n,n,,n,n,n,,,,n,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,,,,n,n,,n
Egg Yolk,26058,,,,n,,,,,,,,n,n,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,n,,
Mango Powder,77548,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,,,,,,,,,,,,,,,,,n,,,,,,,,
Dried Pomegranate Seeds,311775,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,n,,,,,,,,,,,n,,,,,,,,,,,,,
Black Salt,144338,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Chaat Masala,174778,,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,,,,,,,,n,n,,,,,,,
Sweetened Dried Lemon Peel,70715,,,,,,,,n,,,,,,n,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Vegan Ranch Dressing,298198,n,,n,n,,,,n,,,,,,,,,n,,,,n,,n,n,n,n,n,n,,,n,,n,n,n,,,,,,n,,,,,,,,
Blanched Almonds,3057,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Rose Water,118275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Chai Spice,3804,,,,n,,,,,,,,,n,,,,,,,,n,,n,,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Frozen Fruit Mix,242034,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Cauliflower Pizza Crust,224808,,,n,n,,,,,,,n,n,n,,,,,n,,,n,,n,,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Tandoori Masala,174780,n,,n,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,n,n,,,,,,,
Puffed Quinoa,211560,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Coconut Cream,167608,,,,,,,,,n,,,,,,,,,,,,,,,,n,n,,n,,,,,,,,,,,,,n,,,,,,,,
Salmon Burger Patty,39525,,,,n,,,,,,,,,n,,,n,n,,,,,n,n,n,n,,n,n,,,,,n,,n,,,n,n,,n,,,,,n,n,n,
Cheese Tortellini,4583,,,n,n,,,,,,,n,n,n,,n,n,n,n,,,n,n,n,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,n,,n
Digestive Biscuit,56138,,,n,n,,,,,,,n,,n,,n,n,n,n,,,,n,n,n,n,,n,n,,,,,n,,n,,,,,,n,,n,,,n,n,,n
Veggie Burger Patty,196010,n,,n,n,n,,,,,,,,,,,n,n,,,n,n,n,n,n,n,,n,,,,,,n,n,n,,,,,,n,,,,,n,,,
Stir Fry Vegetable Mix,144456,,,n,n,,,,,,,,,n,,,n,n,,,,n,,,n,n,n,n,n,,n,,,,,,,,,,,n,,n,,,,,,
"Ribeye Steak, Boneless",7188,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Mini Whole Wheat Pita,52957,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Balsamic Vinaigrette,244586,,,n,n,,,,,,,,,n,,,,n,,,,n,n,n,,n,n,n,n,,,,,n,,n,,,,,,n,,n,,,n,,,
Israeli Couscous,121833,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,,,,,,,n
Pepperoni,7064,,,n,n,,n,,,,,,,n,,,,,n,,,n,,n,n,n,,n,n,,n,,,,,,n,n,,,,n,n,,,,n,n,n,
Italian Dressing,6079,n,,n,n,,,,n,,,,,n,,,,n,,,,n,,n,n,n,n,n,,,n,,,n,n,,,,,,,n,,,,,,,,
Green Goddess Salad Dressing,1546,n,,,,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,n,n,,,,,,,,,,,,n,,,
Yerba Mate,220342,,,n,,,,,,,,,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,,,,,,,,,,,
Raspberry Jam,75118,,,n,n,,,,,,,,,n,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,n,,,,,,n,,n,,,,,,
Tomatillo,1055,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,,,,,n,,,,,,,,,,,,,,n,,,,,
Naan,4334,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,,,
Raspberry Leaf Tea,6645,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
"Basmati Rice, Cooked",239977,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,,,,,,,,,n,,,n,,,n,,,,,n,,,
Poblano Pepper,29669,,,,n,,,,,,,,,n,,,,,,,,,,,,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Oyster Sauce,7018,,,n,,,,,,,,,,n,,,,,n,,,,,n,,n,,n,,,,,,,,,,,,n,,n,,,,,n,n,n,
Guacamole,28751,n,,,n,,,,n,,,,,n,,,,,,,,n,,n,n,n,n,n,,,n,,,,n,,,,,,,,,,,,,,,
Cheese Curds,185541,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,n,,n,n,,,,,,,n,,,,,,n,,,,,n,n,,
"Salami, Mild",5425,,,n,n,,n,,,,,,,n,,,,,n,,,n,,n,n,n,,n,n,,n,,,,,,n,n,,,,n,,,,,n,n,n,
Potato Gnocchi,176036,,,n,n,,,,,,,,n,n,,n,n,n,,,,n,n,n,n,n,,n,n,,n,,,n,,n,,,,,,n,,,,,n,n,,n
"Chicken Broth, Low Sodium",4098,n,,,,,,n,,,,,,,,,,,,,,,,n,,n,,,,,,,,,n,,n,,,,,,,,,,,n,n,
Vegan Cheese Shreds,220614,,,n,n,,,,,,n,,,n,,,n,n,,n,,n,,n,n,n,,n,n,,,,,n,,n,,,,,,n,,,,,n,,,
Mulberries,2402,,,n,,,,,,,,,,,n,,,n,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Frozen French Fries,2253,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,n,,n,,,,,n,,,,,,n,,,,,n,,,
Frozen Meatballs,4127,n,,n,n,,n,,,,,,n,n,,n,n,,n,,,n,,n,n,n,,n,n,,,,,,n,n,n,n,,,,n,,,,,n,n,n,n
Mulberry Jam,123447,,,n,n,,,,,,,,,n,n,,,n,,,,n,n,n,n,n,n,,n,,,,,,,n,,,,,,n,,n,,,,,,
Chicken Hot Dog,124247,,,n,n,,,n,,,,,,n,,,,,,,,,,n,,n,,n,n,,n,,,,,,n,,,,,n,,,,,n,n,n,
Dragon Fruit,199733,,,n,,,,,,,,,,,n,,,n,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Sourdough Baguette,215488,,,n,n,,,,,,,,,n,,n,n,n,,,,,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Chipotle Powder,234085,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,n,,n,,n,,,,,,,,,,,,n,,,,,,,
Cornstarch,2187,,,n,n,,,,,,n,,,n,,,n,n,,,,,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Pickle Brine,50530,,,,n,,,,,,,,,,,,,,,,,,,n,n,n,n,n,,,,,,,,,,,,,,,,,,,n,,,
Whipping Cream,3348,,,n,n,,,,,,,n,,n,,,,,n,,,n,,,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Garlic Scapes,2495,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
"Turkey Thigh, Bone-in",4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,n,n,
Almond Extract,213368,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,n,,,,,,,,,,,,,n,,,
Icing Sugar,2145,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,,n,n,n,,,,,,,n,,,,,,n,,n,,,n,,,
Dried Guajillo Chilis,67833,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Worcestershire Sauce,4099,n,,n,n,,,,,,,,,n,,,,n,n,,,,n,n,n,n,n,n,n,,n,,,,n,n,,,,n,,n,,n,,,n,n,n,
"Cow's Milk, Whole",3754,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,,n,,
Wonton Wrapper,5291,,,n,n,,,,,,,n,n,n,,n,n,n,n,,,,n,n,n,n,,n,,,,,,n,,n,,,,,,n,,,,,n,n,,n
Salmon Steak,6175,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Cilantro Lime Dressing,237984,n,,,n,,,,n,,,,,,,,,,,,,n,,n,,n,n,n,,,,,,n,,,,,,,,,,n,,,,,,
Whole Wheat Spaghetti,1404,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Apricot,4186,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Peanut Sauce,6559,,,n,n,,,,,,,,,n,,n,,,,n,,n,,n,n,n,n,n,n,,,n,,,,n,,,,,n,n,,,,,n,,,
Lemon Pepper Seasoning,323582,,,,n,,,,n,,,,,,,,,,,,,n,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Honey Mustard,110993,,,n,n,,,,,,,,,n,,,,n,,,,n,n,n,,,n,n,n,,,,,,,,,,,,,,,n,,,,n,,
Vegan Caesar Dressing,220612,n,,n,n,,,,n,,,,,n,,n,,n,,n,,n,,n,n,n,n,n,n,,n,,,n,,n,,,,,n,n,,n,,,n,,,
Red Potato,2518,,,n,n,,,,,,,,,n,,,,n,,,,,n,,n,n,,,,,n,,,,,,,,,,,n,,,,,,,,
String Cheese,224492,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,n,,,,,,,n,,,,,,n,,,,,n,n,,
Mixed Nuts,3077,,n,n,n,,,,,,,,,,,,,,,,,n,,n,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,
Tartar Sauce,4315,n,,n,n,,,,n,,,,n,n,,,,n,n,,,,n,n,n,n,n,n,n,,n,,,n,n,n,,,,n,,n,,n,,,n,n,n,
Pepperoncini Peppers,236556,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,n,,,
Yellow Beans,2450,,,,n,,,,,,,,,,,,,,,n,,n,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,
King Mackerel Steak,7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Scotch Bonnet,1065,,,,n,,,n,,,,,,n,,,,,,,,,,,,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Callaloo,976,n,,,,,,,,,,,,,,,,,,,,,,n,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Cannelloni Shells,2225,,,n,n,,,,,,,,,n,,n,n,n,,,,n,n,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
"Veal Shank, Bone-in",6921,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Hominy,2190,,,n,n,,,,,,n,,,n,,,n,n,,,,,n,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
